username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink,,,,,,,,,,,,
"usamahsiddiqui;2014-11-28 15:00;0;0;""#TGIF !!! Fridays are officially #HookahNights in Baltimore ! make it a #HookahNight tonight withâ€_ http:// instagram.com/p/v9glq4A-u-/"";Baltimore"," MD;;#TGIF #HookahNights #HookahNight;""538467621046616066"";https://twitter.com/usamahsiddiqui/status/538467621046616066",,,,,,,,,,,
"Grip324;2014-11-28 15:00;0;0;""S/O one of my favorite spots in #Bmore #Baltimore #BaltimoreMD and thats #RogersDeli I got myâ€_ http:// instagram.com/p/v9gi7FGA2h/"";Baltimore"," MD;;#Bmore #Baltimore #BaltimoreMD #RogersDeli;""538467526192427008"";https://twitter.com/Grip324/status/538467526192427008",,,,,,,,,,,
"funkmastertoast;2014-11-28 14:59;0;0;""I'm at Baltimore / Washington International Thurgood Marshall Airport (BWI) in Baltimore "," MD https://www. swarmapp.com/c/30tgZcxhFmB"";Severn"," MD;;;""538467203721756674"";https://twitter.com/funkmastertoast/status/538467203721756674",,,,,,,,,,
"usamahsiddiqui;2014-11-28 14:56;0;0;""#TGIF !!! Fridays are officially #HookahNights in Baltimore ! make it a #HookahNight tonight withâ€_ http:// instagram.com/p/v9gGIgg-ry/"";Baltimore"," MD;;#TGIF #HookahNights #HookahNight;""538466536940638209"";https://twitter.com/usamahsiddiqui/status/538466536940638209",,,,,,,,,,,
"usamahsiddiqui;2014-11-28 14:56;0;0;""#TGIF !!! Fridays are officially #HookahNights in Baltimore ! make it a #HookahNight tonight withâ€_ http:// instagram.com/p/v9gCMVA-rY/"";Baltimore"," MD;;#TGIF #HookahNights #HookahNight;""538466402106368000"";https://twitter.com/usamahsiddiqui/status/538466402106368000",,,,,,,,,,,
"FloYoFit;2014-11-28 14:54;0;0;""Surfing eagle. #floyo #beachfitbaltimore #surfset @Beachfit Baltimore http:// instagram.com/p/v9f3TmoIT3/"";Baltimore"," MD;@Beachfit;#floyo #beachfitbaltimore #surfset;""538466027500470272"";https://twitter.com/FloYoFit/status/538466027500470272",,,,,,,,,,,
"DormanEra;2014-11-28 14:47;0;0;""Non-obligatory duck shot. @Harbor Place", Baltimore ," MD. USA http:// instagram.com/p/v9fDbBtzRp/"";Baltimore"," MD;@Harbor;;""538464244627693568"";https://twitter.com/DormanEra/status/538464244627693568",,,,,,,,,
"lilkardash;2014-11-28 14:47;0;0;""he said yeaa you gotta be from baltimore"";Overlea"," MD;;;""538464161274298369"";https://twitter.com/lilkardash/status/538464161274298369",,,,,,,,,,,
"DormanEra;2014-11-28 14:44;0;0;""Obligatory Harbor shot. @Harbor Place", Baltimore ," MD. USA http:// instagram.com/p/v9ep-nNzeV/"";Baltimore"," MD;@Harbor;;""538463370228543488"";https://twitter.com/DormanEra/status/538463370228543488",,,,,,,,,
"ghettofashnista;2014-11-28 14:36;0;0;""Happy hour with my buddha and nawnamari #Family @Horseshoe Casino Baltimore http:// instagram.com/p/v9d12nLEU9/"";Baltimore"," MD;@Horseshoe;#Family;""538461580367638528"";https://twitter.com/ghettofashnista/status/538461580367638528",,,,,,,,,,,
"baltimore311;2014-11-28 14:36;0;0;""Closed Dirty Alley or Street request at Johns Hopkins University 3037 Remington Ave Baltimore http:// spot.cx/1rtaljw . Cleaned and removed..."";Baltimore"," MD;;;""538461521287057409"";https://twitter.com/baltimore311/status/538461521287057409",,,,,,,,,,,
"baltimore311;2014-11-28 14:36;0;0;""Closed Dirty Alley or Street request at 321 S Clinton St Baltimore http:// spot.cx/1FoK3qK . Cleaned and removed debris (close)."";Baltimore"," MD;;;""538461509970833408"";https://twitter.com/baltimore311/status/538461509970833408",,,,,,,,,,,
"baltimore311;2014-11-28 14:36;0;0;""Closed Dirty Alley or Street request at 404 S Dean St Baltimore http:// spot.cx/1piZlJF . Cleaned and removed debris (close)."";Baltimore"," MD;;;""538461486054907904"";https://twitter.com/baltimore311/status/538461486054907904",,,,,,,,,,,
"peterjn3;2014-11-28 14:31;0;0;""@RayRice27 congrats Baltimore wants you back#"";Baltimore"," MD;@RayRice27;#;""538460313503662081"";https://twitter.com/peterjn3/status/538460313503662081",,,,,,,,,,,
"jskiddles;2014-11-28 14:30;0;1;""I'm at National Aquarium - @natlaquarium in Baltimore "," MD https://www. swarmapp.com/c/2afi0Oe0fKE"";Baltimore"," MD;@natlaquarium;;""538459919872430080"";https://twitter.com/jskiddles/status/538459919872430080",,,,,,,,,,
"BaltimoreCP;2014-11-28 14:30;0;0;""Finally"," no more Ray Rice in Baltimore : There will be no more Ray Rice at M&T Bank Stadium. No more Ray Riceâ€_ http:// dlvr.it/7g60mx"";Baltimore"," MD;;;""538459847813898240"";https://twitter.com/BaltimoreCP/status/538459847813898240",,,,,,,,,,
"faithpaulick;2014-11-28 14:22;0;0;""Dos mundos $8 20 oz margarita all night! (@Papi's Taco Joint in Baltimore "," MD) https://www. swarmapp.com/c/avk4nsRqTrO"";Baltimore"," MD;@Papi;;""538458002270203904"";https://twitter.com/faithpaulick/status/538458002270203904",,,,,,,,,,
"faithpaulick;2014-11-28 14:22;0;0;""Come get a leftover sandwich after shopping! (@Alexander's Tavern in Baltimore "," MD) https://www. swarmapp.com/c/09WjEBSFA43"";Baltimore"," MD;@Alexander;;""538457818958139394"";https://twitter.com/faithpaulick/status/538457818958139394",,,,,,,,,,
"cindywp;2014-11-28 14:20;0;0;""I'm at MaGerks Pub & Grill in Baltimore "," MD https://www. swarmapp.com/c/gXNVesvZOjf"";Baltimore"," MD;;;""538457484131074050"";https://twitter.com/cindywp/status/538457484131074050",,,,,,,,,,
"Daging33;2014-11-28 14:17;0;0;""I'm at Baltimore World Trade Center in Baltimore "," MD https://www. swarmapp.com/c/eHjL90P5We5 pic.twitter.com/98chjRChM2"";Baltimore"," MD;;;""538456578912169984"";https://twitter.com/Daging33/status/538456578912169984",,,,,,,,,,
"popitlow;2014-11-28 14:12;0;0;""UPDATE: Baltimore has potential #hamden"";Baltimore"," MD;;#hamden;""538455434030743552"";https://twitter.com/popitlow/status/538455434030743552",,,,,,,,,,,
"mobtowngeorge;2014-11-28 14:12;0;0;""Merry holidays to me. While everyone else is out spending I'm saving! (at @WellsFargo in Baltimore "," MD) https://www. swarmapp.com/c/gVjwj8tVLlv"";Baltimore"," MD;@WellsFargo;;""538455327797440512"";https://twitter.com/mobtowngeorge/status/538455327797440512",,,,,,,,,,
"MidnightKings2;2014-11-28 14:09;0;0;""#TGIF !!! Fridays are officially #HookahNights in Baltimore ! make it a #HookahNight tonight withâ€_ http:// instagram.com/p/v9ascQqnV4/"";Baltimore"," MD;;#TGIF #HookahNights #HookahNight;""538454661418598400"";https://twitter.com/MidnightKings2/status/538454661418598400",,,,,,,,,,,
"MidnightKings2;2014-11-28 14:01;0;0;""#TGIF !!! Fridays are officially #HookahNights in Baltimore ! make it a #HookahNight tonight withâ€_ http:// instagram.com/p/v9ZzBHqnd1/"";Baltimore"," MD;;#TGIF #HookahNights #HookahNight;""538452687474667520"";https://twitter.com/MidnightKings2/status/538452687474667520",,,,,,,,,,,
"MidnightKings2;2014-11-28 14:00;0;0;""#TGIF !!! Fridays are officially #HookahNights in Baltimore ! make it a #HookahNight tonight withâ€_ http:// instagram.com/p/v9Zr_zKnc1/"";Baltimore"," MD;;#TGIF #HookahNights #HookahNight;""538452446255652864"";https://twitter.com/MidnightKings2/status/538452446255652864",,,,,,,,,,,
"larrysam1;2014-11-28 13:58;0;1;""I'm at Gordon Biersch Brewery Restaurant - @gbbaltbrewery in Baltimore "," MD https://www. swarmapp.com/c/6gIwZe5pfWA"";Baltimore"," MD;@gbbaltbrewery;;""538451807157383168"";https://twitter.com/larrysam1/status/538451807157383168",,,,,,,,,,
"larrysam1;2014-11-28 13:58;0;0;""I'm at Harbor East Marina in Baltimore "," MD https://www. swarmapp.com/c/1RqGaHzNfRh"";Baltimore"," MD;;;""538451789373530113"";https://twitter.com/larrysam1/status/538451789373530113",,,,,,,,,,
"larrysam1;2014-11-28 13:57;0;0;""I'm at Baltimore District in Baltimore "," MD https://www. swarmapp.com/c/2kFYOveWfmS"";Baltimore"," MD;;;""538451698025787392"";https://twitter.com/larrysam1/status/538451698025787392",,,,,,,,,,
"_d1tyme;2014-11-28 13:55;0;0;""If you find a loyal girl in Baltimore she either (1) Crazy or (2) Got a past"";Milford Mill"," MD;;;""538451163151355904"";https://twitter.com/_d1tyme/status/538451163151355904",,,,,,,,,,,
"ReeceSupreme;2014-11-28 13:53;0;0;""In the hospital with my client (@Greater Baltimore Medical Center - @gbmcmedia in Towson"," MD) https://www. swarmapp.com/c/9KTYVARNntW"";Towson"," MD;@Greater @gbmcmedia;;""538450682765123585"";https://twitter.com/ReeceSupreme/status/538450682765123585",,,,,,,,,,
"yonickkkane;2014-11-28 13:41;0;0;""Hello Baltimore . @B&O American Brasserie http:// instagram.com/p/v9Xi-UKaT6/"";Baltimore"," MD;@B;;""538447737927110658"";https://twitter.com/yonickkkane/status/538447737927110658",,,,,,,,,,,
"MichelleSachs;2014-11-28 13:38;0;0;""Fresh Cut Christmas Trees are out & yes"," 3 - 4 feet tall trees - hilarious to see a teeny tiny tree on top of SUV #Baltimore #InnerHarbor"";Baltimore"," MD;;#Baltimore #InnerHarbor;""538446914661138432"";https://twitter.com/MichelleSachs/status/538446914661138432",,,,,,,,,,
"baltimore311;2014-11-28 13:35;0;0;""Closed Abandoned Vehicle request at 265-299 Parkin St Baltimore http:// spot.cx/1zmhIO3 . Refer to towing."";Baltimore"," MD;;;""538446078451122176"";https://twitter.com/baltimore311/status/538446078451122176",,,,,,,,,,,
"MichelleSachs;2014-11-28 13:34;0;0;""Shopping downtown to avoid the crowds #Baltimore #InnerHarbor #ShopSmall pic.twitter.com/39fYuGRFVC"";Baltimore"," MD;;#Baltimore #InnerHarbor #ShopSmall;""538445902932107264"";https://twitter.com/MichelleSachs/status/538445902932107264",,,,,,,,,,,
"ghettofashnista;2014-11-28 13:31;0;1;""Shenanigans with the family... (@Horseshoe Casino Baltimore - @horseshoebmore in Baltimore "," MD) http:// 4sq.com/1B08Jq6"";Baltimore"," MD;@Horseshoe @horseshoebmore;;""538445132807540736"";https://twitter.com/ghettofashnista/status/538445132807540736",,,,,,,,,,
"baltimore311;2014-11-28 13:30;0;0;""Opened City Employee Complaint request via iPhone at 201 W Preston St http:// spot.cx/15I8nHy . Come on baltimore ... if you have to post a..."";Baltimore"," MD;;;""538444738731737088"";https://twitter.com/baltimore311/status/538444738731737088",,,,,,,,,,,
"baltimore311;2014-11-28 13:29;0;0;""Opened request via Android at 1909 Fleet St Baltimore http:// spot.cx/15I8fYF . Housing inspector requested. neighbor partially removed tre..."";Baltimore"," MD;;;""538444641260285952"";https://twitter.com/baltimore311/status/538444641260285952",,,,,,,,,,,
"baltimore311;2014-11-28 13:29;0;0;""Opened Dirty Alley or Street request via Android at 2601 W Lexington St Baltimore http:// spot.cx/15I8cfA . Dirty street", tires ,"bulk and l..."";Baltimore"," MD;;;""538444606757937152"";https://twitter.com/baltimore311/status/538444606757937152",,,,,,,,,
"baltimore311;2014-11-28 13:29;0;0;""Opened Street Light Out request via Android at W York St Baltimore http:// spot.cx/15I8cMz . York street park otterbein. light flickers on..."";Baltimore"," MD;;;""538444558552805376"";https://twitter.com/baltimore311/status/538444558552805376",,,,,,,,,,,
"1MichaelJamal;2014-11-28 13:25;0;0;""Proud 2 Announce Ive Been Living In #Baltimore 4 About 5 Months Now....and out of 103 R&B Artist Iâ€_ http:// instagram.com/p/v9VqTkN1KX/"";Baltimore"," MD;;#Baltimore;""538443590696177665"";https://twitter.com/1MichaelJamal/status/538443590696177665",,,,,,,,,,,
"beckystavely;2014-11-28 13:12;0;0;""Who needs hot deals on Black Friday when you can have hot yoga?? #charmcityyoga #fellspoint #Baltimore â€_ http:// instagram.com/p/v9UN-9k4Ib/"";Baltimore"," MD;;#charmcityyoga #fellspoint #Baltimore;""538440419848101888"";https://twitter.com/beckystavely/status/538440419848101888",,,,,,,,,,,
"BaltimoreCP;2014-11-28 13:11;0;0;""City officers", families give food," clothing to homeless: Some members of the Baltimore City Police Department spentâ€_ http:// dlvr.it/7g4WzH"";Baltimore"," MD;;;""538439954519425024"";https://twitter.com/BaltimoreCP/status/538439954519425024",,,,,,,,,
"oSnChris;2014-11-28 13:10;0;0;""â€œ@creepykonnie: Really enjoying this break from Baltimore â€ùbring me a souvenir"";Baltimore"," MD;@creepykonnie;;""538439827021389824"";https://twitter.com/oSnChris/status/538439827021389824",,,,,,,,,,,
"MJMadisonJr;2014-11-28 13:09;0;0;""I'm at Barbershop in Baltimore "," MD https://www. swarmapp.com/c/9u8oEtUWGKj"";Milford Mill"," MD;;;""538439523194400768"";https://twitter.com/MJMadisonJr/status/538439523194400768",,,,,,,,,,
"lilkardash;2014-11-28 13:08;0;0;""looking at the word "" baltimore "" & actually saying it .. it sound kinda weird still live my city tho"";Perry Hall"," MD;;;""538439372048465921"";https://twitter.com/lilkardash/status/538439372048465921",,,,,,,,,,,
"Dom_Dela_Geez;2014-11-28 13:06;0;0;""#Remy #XO is the power move tonight at #14FORTY inside #horseshoebaltimore @Horseshoe Casino Baltimore http:// instagram.com/p/v9TgL0S46R/"";Baltimore"," MD;@Horseshoe;#Remy #XO #14FORTY #horseshoebaltimore;""538438845948104704"";https://twitter.com/Dom_Dela_Geez/status/538438845948104704",,,,,,,,,,,
"baltimore311;2014-11-28 13:06;0;0;""Closed Trash", High Grass," or Weeds request at 3036 Presstman St Baltimore http:// spot.cx/1AYWXMw . Work order outstanding pending."";Baltimore"," MD;;;""538438704487235584"";https://twitter.com/baltimore311/status/538438704487235584",,,,,,,,,
"baltimore311;2014-11-28 13:06;0;0;""Closed Pothole request at 4499 Loch Raven Blvd Baltimore http:// spot.cx/1FxMztb . Abated - close sr."";Baltimore"," MD;;;""538438692881580032"";https://twitter.com/baltimore311/status/538438692881580032",,,,,,,,,,,
"awestover;2014-11-28 13:04;0;1;""Black Friday shopping for me (@Honeygo Wine & Spirits in Baltimore "," MD) https://www. swarmapp.com/c/h8zxiStwAhn"";White Marsh"," MD;@Honeygo;;""538438220691030016"";https://twitter.com/awestover/status/538438220691030016",,,,,,,,,,
"YoungJKauf;2014-11-28 13:03;0;1;""I'm at Horseshoe Casino Baltimore - @horseshoebmore in Baltimore "," MD https://www. swarmapp.com/c/3KGs0ml2zeA"";Baltimore"," MD;@horseshoebmore;;""538437967447359488"";https://twitter.com/YoungJKauf/status/538437967447359488",,,,,,,,,,
"JuraKoncius;2014-11-28 13:01;0;0;""Now that's a tie-back! Hampton House in Baltimore @NatlParkService #historichome #thisisbaltimore @â€_ http:// instagram.com/p/v9MUUdDqdU/"";Hampton"," MD;@NatlParkService @;#historichome #thisisbaltimore;""538437671446536193"";https://twitter.com/JuraKoncius/status/538437671446536193",,,,,,,,,,,
"ohxjulie;2014-11-28 12:59;0;0;""Trying a new Black Friday strategy. (@White Marsh Mall in Baltimore "," MD) https://www. swarmapp.com/c/6zDNAmPuCaG"";White Marsh"," MD;@White;;""538436923606704128"";https://twitter.com/ohxjulie/status/538436923606704128",,,,,,,,,,
"BaltimoreCP;2014-11-28 12:55;0;0;""Police identify man killed in East Baltimore Tuesday night: Baltimore police identified 26-year-old man who wasâ€_ http:// dlvr.it/7g4GVT"";Baltimore"," MD;;;""538436012922245120"";https://twitter.com/BaltimoreCP/status/538436012922245120",,,,,,,,,,,
"IsaiahRW_;2014-11-28 12:50;0;0;""Charm City #vsco #vscocam #baltimore #charmcity #maryland #photooftheday #instadaily #fuji #sony â€_ http:// instagram.com/p/v9RszZFsr2/"";Owings Mills"," MD;;#vsco #vscocam #baltimore #charmcity #maryland #photooftheday #instadaily #fuji #sony;""538434881148026880"";https://twitter.com/IsaiahRW_/status/538434881148026880",,,,,,,,,,,
"natalieung;2014-11-28 12:38;0;0;""I'm at Faidley's Seafood & Fresh Fish Market in Baltimore "," MD https://www. swarmapp.com/c/5gRfTUbx01i"";Baltimore"," MD;;;""538431781276778497"";https://twitter.com/natalieung/status/538431781276778497",,,,,,,,,,
"baltimore311;2014-11-28 12:37;0;0;""Closed Parking Complaint request at 100â€“198 Commerce St http:// spot.cx/1FCloNQ . Fq-begin: reserved parking - yes - http://311. baltimore ..."";Baltimore"," MD;;;""538431463415623681"";https://twitter.com/baltimore311/status/538431463415623681",,,,,,,,,,,
"baltimore311;2014-11-28 12:37;0;0;""Closed request at 2633 N Charles St Baltimore http:// spot.cx/1C6kPPS . Invalid address."";Baltimore"," MD;;;""538431418381373440"";https://twitter.com/baltimore311/status/538431418381373440",,,,,,,,,,,
"baltimore311;2014-11-28 12:37;0;0;""Closed Abandoned Vehicle request at 900-904 Sterrett St Baltimore http:// spot.cx/1pqUNkF . Vehicle stolen-refer to police."";Baltimore"," MD;;;""538431394780045312"";https://twitter.com/baltimore311/status/538431394780045312",,,,,,,,,,,
"baltimore311;2014-11-28 12:36;0;0;""Closed Abandoned Vehicle request at 2401 Nevada St Baltimore http:// spot.cx/1vQijd8 . Gone on arrival (closed)."";Baltimore"," MD;;;""538431371459719168"";https://twitter.com/baltimore311/status/538431371459719168",,,,,,,,,,,
"baltimore311;2014-11-28 12:31;0;0;""Opened Dirty Alley or Street request via Android at 763 Washington Blvd Baltimore http:// spot.cx/1FCzIG1 ."";Baltimore"," MD;;;""538430013830610945"";https://twitter.com/baltimore311/status/538430013830610945",,,,,,,,,,,
"LanceVincent57;2014-11-28 12:30;1;1;""I'm at Fullerton Pub in Baltimore "," MD https://www. swarmapp.com/c/hBAjqv0CwhP"";Overlea"," MD;;;""538429686054129666"";https://twitter.com/LanceVincent57/status/538429686054129666",,,,,,,,,,
"JennRhea;2014-11-28 12:25;0;1;""Hot toddy and a good book. (@Metropolitan Coffeehouse & Wine Bar - @metrofedhill in Baltimore "," MD) https://www. swarmapp.com/c/9sB3PpwN5Ng"";Baltimore"," MD;@Metropolitan @metrofedhill;;""538428497661005825"";https://twitter.com/JennRhea/status/538428497661005825",,,,,,,,,,
"BaltimoreCP;2014-11-28 12:23;0;0;""Ray Rice wins appeal", is reinstated into NFL: Former Baltimore Ravens running back Ray Rice has won his appeal,"â€_ http:// dlvr.it/7g3dp9"";Baltimore"," MD;;;""538428004666335232"";https://twitter.com/BaltimoreCP/status/538428004666335232",,,,,,,,,
"BaltimoreCP;2014-11-28 12:23;0;0;""Pa. woman injured in Nov. 17 Kingsville crash dies: Baltimore County police said Friday that a Pennsylvania womanâ€_ http:// dlvr.it/7g3g5H"";Baltimore"," MD;;;""538427997418553345"";https://twitter.com/BaltimoreCP/status/538427997418553345",,,,,,,,,,,
"AnnieKSullivan;2014-11-28 12:23;0;1;""@gorelickingood @ZiasCafe went this afternoon - they have a great menu. So excited for acai bowls in Baltimore ."";Baltimore"," MD;@gorelickingood @ZiasCafe;;""538427867257114625"";https://twitter.com/AnnieKSullivan/status/538427867257114625",,,,,,,,,,,
"Stewart_Wolfe;2014-11-28 12:18;0;0;""The Salty Balty #Baltimore #innerharbor @National Aquarium http:// instagram.com/p/v9OA5BuYQU/"";Baltimore"," MD;@National;#Baltimore #innerharbor;""538426774762582016"";https://twitter.com/Stewart_Wolfe/status/538426774762582016",,,,,,,,,,,
"peterbecker8;2014-11-28 12:15;0;0;""#ttp #timetoparty for Dad's 80th! (@Baltimore / Washington International Thurgood Marshall Airport (BWI)) https://www. swarmapp.com/c/cyUwjIjz5cB"";Severn"," MD;@Baltimore;#ttp #timetoparty;""538426047763853314"";https://twitter.com/peterbecker8/status/538426047763853314",,,,,,,,,,,
"JShaunessy1;2014-11-28 12:09;0;0;""@Haz2Real cruddy ass just like a baltimore nigga."";Baltimore"," MD;@Haz2Real;;""538424392746020865"";https://twitter.com/JShaunessy1/status/538424392746020865",,,,,,,,,,,
"baltimore311;2014-11-28 12:08;0;0;""Closed request at 2640 Guilford Ave Baltimore http:// spot.cx/1C6oBIY . Invalid address."";Baltimore"," MD;;;""538424329625927680"";https://twitter.com/baltimore311/status/538424329625927680",,,,,,,,,,,
"baltimore311;2014-11-28 12:08;0;0;""Closed request at 2641 N Charles St Baltimore http:// spot.cx/1C6kIUo . Invalid address."";Baltimore"," MD;;;""538424307723284481"";https://twitter.com/baltimore311/status/538424307723284481",,,,,,,,,,,
"baltimore311;2014-11-28 12:08;0;0;""Closed Trash", High Grass," or Weeds request at 2706 W Baltimore St Baltimore http:// spot.cx/1pnl2IE . Fq-begin: residence - property is uno..."";Baltimore"," MD;;;""538424254631796736"";https://twitter.com/baltimore311/status/538424254631796736",,,,,,,,,
"baltimore311;2014-11-28 12:07;0;0;""Closed Trash", High Grass," or Weeds request at 2242 Sidney Ave Baltimore http:// spot.cx/1pneolR . Fq-begin: residence - property is unoccup..."";Baltimore"," MD;;;""538423948007178241"";https://twitter.com/baltimore311/status/538423948007178241",,,,,,,,,
"baltimore311;2014-11-28 12:07;0;0;""Closed Trash", High Grass," or Weeds request at 1448 Ward St Baltimore http:// spot.cx/1ttuHc3 . Fq-begin: business - property is occupied -..."";Baltimore"," MD;;;""538423871930920960"";https://twitter.com/baltimore311/status/538423871930920960",,,,,,,,,
"KevinRaney;2014-11-28 12:06;0;0;""Last stop before Ft. Myers (@Baltimore / Washington International Thurgood Marshall Airport (BWI) in Baltimore "," MD) https://www. swarmapp.com/c/6Zmyc67L6jl"";Severn"," MD;@Baltimore;;""538423810249486337"";https://twitter.com/KevinRaney/status/538423810249486337",,,,,,,,,,
"IamBrianCheeks;2014-11-28 12:04;1;0;""I'm at Edmondson Village Shopping Center in Baltimore "," MD https://www. swarmapp.com/c/4SAcXeQ62jY"";Baltimore"," MD;;;""538423236632264704"";https://twitter.com/IamBrianCheeks/status/538423236632264704",,,,,,,,,,
"PolinaPeg;2014-11-28 12:04;0;0;""A gem of a collection in Baltimore -Walters art gallery. Free."";Baltimore"," MD;;;""538423158106505216"";https://twitter.com/PolinaPeg/status/538423158106505216",,,,,,,,,,,
"pperpk;2014-11-28 12:04;0;0;""I'm at Walmart in Baltimore "," MD https://www. swarmapp.com/c/j65gD3wfPP2"";Rossville"," MD;;;""538423078666391553"";https://twitter.com/pperpk/status/538423078666391553",,,,,,,,,,
"DatGuyPunn;2014-11-28 11:56;1;0;"""" @MeghanWJZ : BREAKING: Baltimore Sun cites sources saying Ray Rice has won appeal. @cbsbaltimore #wjz "" glad he won that"";Baltimore"," MD;@MeghanWJZ @cbsbaltimore;#wjz;""538421065828290560"";https://twitter.com/DatGuyPunn/status/538421065828290560",,,,,,,,,,,
"Kentality;2014-11-28 11:40;0;0;""Due to the high amount of ppl that are UAF in Baltimore it will now be referred to as #Baltimordor ....in honor of lord of the rings"";Pasadena"," MD;;#Baltimordor;""538417087883251712"";https://twitter.com/Kentality/status/538417087883251712",,,,,,,,,,,
"natalieung;2014-11-28 11:32;0;0;""I'm at Geppi's Entertainment Museum in Baltimore "," MD https://www. swarmapp.com/c/kLuaL1dHRC4"";Baltimore"," MD;;;""538415082498433024"";https://twitter.com/natalieung/status/538415082498433024",,,,,,,,,,
"rieVAMPED;2014-11-28 11:32;0;0;""It's a celebration. #AuntMags90th @Renaissance Baltimore Harborplace Hotel http:// instagram.com/p/v9IrRipwa1/"";Baltimore"," MD;@Renaissance;#AuntMags90th;""538415037795139584"";https://twitter.com/rieVAMPED/status/538415037795139584",,,,,,,,,,,
"Artondra;2014-11-28 11:31;0;0;""Beware! There is a mattress middle of I 83 N. Baltimore . Just before the Pepsi-Cola sign."";Baltimore"," MD;;;""538415010855534592"";https://twitter.com/Artondra/status/538415010855534592",,,,,,,,,,,
"larrysam1;2014-11-28 11:29;0;0;""I'm at Heavy Seas Alehouse - @heavyseasalehse in Baltimore "," MD https://www. swarmapp.com/c/k4KFw6KMJvp"";Baltimore"," MD;@heavyseasalehse;;""538414352815390720"";https://twitter.com/larrysam1/status/538414352815390720",,,,,,,,,,
"larrysam1;2014-11-28 11:28;0;0;""I'm at Little Italy Garage in Baltimore "," MD https://www. swarmapp.com/c/fVTQkG93RA3"";Baltimore"," MD;;;""538414226222882816"";https://twitter.com/larrysam1/status/538414226222882816",,,,,,,,,,
"KeithSharper;2014-11-28 11:22;0;0;""#Fireplace it's cold out #Warm #Fire #Baltimore @Bolton Hill"," Bmore http:// instagram.com/p/v9HltSR2Xu/"";Baltimore"," MD;@Bolton;#Fireplace #Warm #Fire #Baltimore;""538412646509195264"";https://twitter.com/KeithSharper/status/538412646509195264",,,,,,,,,,
